K K SHYLAJA TEACHER,14-KUTHUPARAMBA,67013
K P MOHANAN S/O P R KURUP,14-KUTHUPARAMBA,54722
C SADANANDAN MASTER,14-KUTHUPARAMBA,20787
MUHAMMAD SHABEER K C,14-KUTHUPARAMBA,1681
K P MOHANAN VEDICHALIL,14-KUTHUPARAMBA,1041
K P MOHANAN HRIDYAM,14-KUTHUPARAMBA,355
K RAGHUNATH,14-KUTHUPARAMBA,296
K P SHYLAJA PRASANTH,14-KUTHUPARAMBA,265
SHYLAJA NELLIYULLA PARAMBATH,14-KUTHUPARAMBA,163
E. P. JAYARAJAN,15-MATTANNUR,84030
K. P. PRASANTH,15-MATTANNUR,40649
BIJU ELAKKUZHI,15-MATTANNUR,18620
RAFEEKH KEECHERI,15-MATTANNUR,3188
KODIPPADI PRASANTH,15-MATTANNUR,770
SUNNY JOSEPH,16-PERAVOOR,65659
BINOY KURIAN,16-PERAVOOR,57670
PAILY VATHIATTU,16-PERAVOOR,9129
P K FAROOKH,16-PERAVOOR,1935
PALLIPRAM PRASANNAN,16-PERAVOOR,513
SUNNY JOSEPH KALLARAKKAL,16-PERAVOOR,389
K J JOSEPH,16-PERAVOOR,241
BIJOY KURIAN,16-PERAVOOR,214
V D BINTO,16-PERAVOOR,124
SUNNY,16-PERAVOOR,110
RADHAMANI NARAYANA KUMAR,16-PERAVOOR,63
O R KELU,17-MANANTHAVADY,62436
P K JAYALAKSHMI,17-MANANTHAVADY,61129
K MOHANDAS,17-MANANTHAVADY,16230
SOMAN P N,17-MANANTHAVADY,1377
LAKSHMI,17-MANANTHAVADY,1300
ANNAN MADAKKIMALA,17-MANANTHAVADY,679
KELU CHAYIMMAL,17-MANANTHAVADY,583
VIJAYAN,17-MANANTHAVADY,224
USHA K,17-MANANTHAVADY,205
KELU KOLLIYIL,17-MANANTHAVADY,196
NITTAMANI K KUNHIRAMAN,17-MANANTHAVADY,183
I C BALAKRISHNAN,18-SULTHANBATHERY,75747
RUGMINI SUBRAHMANIAN,18-SULTHANBATHERY,64549
C K JANU,18-SULTHANBATHERY,27920
MUKUNDAN CHEENGERI,18-SULTHANBATHERY,791
MADHAVI,18-SULTHANBATHERY,609
K K VASU,18-SULTHANBATHERY,478
BALAKRISHNAN EDAKKAL,18-SULTHANBATHERY,387
T R SREEDHARAN,18-SULTHANBATHERY,262
C K SASEENDRAN,19-KALPETTA,72959
M.V SHREYAMS KUMAR,19-KALPETTA,59876
K SADANANDAN,19-KALPETTA,12938
JOSEPH AMBALAVAYAL,19-KALPETTA,900
K A AYOOB,19-KALPETTA,837
MADAYI LATHEEF,19-KALPETTA,594
SREYAMS KUMAR ANJANA HOUSE,19-KALPETTA,498
SUJAYAKUMAR,19-KALPETTA,468
MOIDEEN CHEMBOTHARA,19-KALPETTA,451
SANDHYA N M,19-KALPETTA,214
C K NANU,20-VADAKARA,49211
MANAYATH CHANDRAN,20-VADAKARA,39700
K K REMA T P HOUSE,20-VADAKARA,20504
M. RAJESH KUMAR,20-VADAKARA,13937
P ABDUL HAMEED MASTER,20-VADAKARA,2673
MADAPPARAMBATH CHANDRAN,20-VADAKARA,1648
K K REMA KUNIYIL,20-VADAKARA,352
STALIN P P,20-VADAKARA,284
T K NANU THAZHE KANDOTH,20-VADAKARA,279
MATHATH CHANDRAN,20-VADAKARA,240
T P RAMA VADAKKE EROTH,20-VADAKARA,238
PARAKKAL ABDULLA,21-KUTTIADI,71809
K K LATHIKA,21-KUTTIADI,70652
RAMADAS MANALERI,21-KUTTIADI,12327
P C BASKARAN,21-KUTTIADI,1125
SABU KAKKATTIL,21-KUTTIADI,860
K C KUMARAN,21-KUTTIADI,220
NARANATHU MUHAMMAD,21-KUTTIADI,118
PARAKKAL ABDULLA PALLIYATH,21-KUTTIADI,85
S R KHAN MANIYOOR,21-KUTTIADI,76
PALLIYIL ABDULLA,21-KUTTIADI,62
ALUVA ANEESH,21-KUTTIADI,57
PAREMMAL ABDULLA,21-KUTTIADI,44
E K VIJAYAN,22-NADAPURAM,74742
K. PRAVEENKUMAR,22-NADAPURAM,69983
M P RAJAN,22-NADAPURAM,14493
ABDUL RAHEEM,22-NADAPURAM,2183
KK VASU,22-NADAPURAM,377
E K VIJAYAN KOMATH,22-NADAPURAM,220
PRAVEEN KUMAR THAYULLATHIL (H),22-NADAPURAM,171
PRAVEEN RAYAROTH THAZHIKUNI,22-NADAPURAM,163
ALUVA ANEESH,22-NADAPURAM,151
K. DASAN,23-QUILANDY,70593
N. SUBRAMANIAN,23-QUILANDY,57224
K RAJINESH BABU,23-QUILANDY,22087
ISMAYIL KAMMANA,23-QUILANDY,798
RASAL. M. K,23-QUILANDY,703
PARAPPIL BALAKRISHNAN,23-QUILANDY,678
M.N.SUBRAMANIAN KAKKUDUMBIL MITHAL,23-QUILANDY,489
P K DASAN PAZHUNTHUM KOOTTATHIL,23-QUILANDY,167
P M SREEKUMAR,23-QUILANDY,149
P M KUNHIKANNAN,23-QUILANDY,126
T P RAMAKRISHNAN,24-PERAMBRA,72359
MOHAMMED IKBAL,24-PERAMBRA,68258
SUKUMARAN NAIR,24-PERAMBRA,8561
RAZSAQ PALERI,24-PERAMBRA,1673
K P GOPI,24-PERAMBRA,1036
MUHAMMAD IQBAL BAPPU BAITH,24-PERAMBRA,637
M T MUHAMMED MASTER,24-PERAMBRA,224
